role,participant_id,theme,quote
tutor,SPR-P05,assessment integrity and academic honesty,"if you really don't follow these, you'll be really penalized, or, like, you know, you'll be, like, you need to face this academic integrity"
tutor,SPR-P05,assessment integrity and academic honesty,"if they are not following this ethical academic integrity, like, for that, they should be, like, you know, that should be acknowledged somehow"
tutor,SPR-P05,need for clearer guidelines and procedures,"I would like to have session, training session, and that how we can really assess the student"
tutor,SPR-P05,tutor workload and time constraints,I have to mark a lot of assignments
tutor,SPR-P05,tutor workload and time constraints,it was a bit time-consuming for me
tutor,SPR-P05,tutor workload and time constraints,"you get very, like, short time to mark the submission"
tutor,SPR-P05,insufficient staff training on ethical AI use,"I don't remember that I have used… I have, like, I have gone through with any specific training for tutors, like, to use it."
tutor,SPR-P05,call for mandatory student ethics training,"I would like to have session, training session, and that how we can really assess the student"
tutor,SPR-P05,call for mandatory student ethics training,"I think, like, students, if they also have some kind of training about that, that'd be great."
tutor,SPR-P05,uncertainty about actual learning gains,"I'm not sure how good or bad their, like, you know, what is their learning, ultimate learning outcome"
tutor,SPR-P05,uncertainty about actual learning gains,"I believe that there is no way I can really understand that they are, like, you know, they are learning really"
tutor,SPR-P06,structured reflection and evaluative judgment,"comparison and reflection, and then refinement. So, there is a proper tabular approach that we are following, through which we are guiding them for evaluative judgment"
tutor,SPR-P06,structured reflection and evaluative judgment,"they can generate the same thing using, GenAI tools and then reflect, and then compare. So where were the strengths, where were the weaknesses?"
tutor,SPR-P06,student over-reliance on GenAI,they actually try to over-rely on these tools
tutor,SPR-P06,student over-reliance on GenAI,"instead of using it as a tutor, sometimes they over-rely on that"
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,we have a proper Gen AI declaration section in our assessments
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,"we are trying to make them aware of the ethical guidelines, that how to declare it"
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,"more reflections on ethical considerations, and then I think, case study-based samples can be provided for ethical declaration"
tutor,SPR-P06,agentic and semi-restricted use of GenAI,"instead of allowing them full use of generative AI, we can use agentic approach"
tutor,SPR-P06,agentic and semi-restricted use of GenAI,we can also allow them to use generative AI in a semi-restricted more just as a peer or tutor
tutor,SPR-P06,agentic and semi-restricted use of GenAI,"instead of using it as a tutor, you're actually using it as a full-fledged solution generator"
tutor,SPR-P06,assessment integrity and detection of undeclared use,we have a proper Gen AI declaration section in our assessments
tutor,SPR-P06,assessment integrity and detection of undeclared use,"sometimes they use it, but they don't declare it"
tutor,SPR-P06,assessment integrity and detection of undeclared use,"Some designs, by looking at them, the tutor can easily feel that this is over generalized, or might be a bit more professional"
tutor,SPR-P06,variation in student engagement and attitudes,"I would say that both groups, both kinds of groups exist."
tutor,SPR-P06,need for formal tutor training and institutional guidelines,"I'm looking for more formalized, approaches towards tutor training"
tutor,SPR-P06,need for formal tutor training and institutional guidelines,"it can be more formalized, and then, in… during the regulation process"
tutor,SPR-P06,need for formal tutor training and institutional guidelines,I can't witness something very formalized in terms of dedicated training in Gen AI for casual academics
tutor,SPR-P06,refinement of GenAI declaration templates and prompts,"we have a proper Gen AI declaration section in our assessments, and we have provided 2 or 3 samples"
tutor,SPR-P06,refinement of GenAI declaration templates and prompts,"the way we have provided samples in your templates and assessment, tasks…these are the ways in which you have to use"
