role,participant_id,micro_theme,macro_theme,macro_label,quote
tutor,AUT-P04,cross-institutional differences in AI policy enforcement,policy_guidance_training,"Institutional Policy, Guidance, and Training",we do have that at UTS as well. But I'm not sure if…I guess UNSW is a bit stricter when it comes to to that.
tutor,SPR-P01,institutional AI infrastructure and governance,policy_guidance_training,"Institutional Policy, Guidance, and Training",UTS have to invest on that particular initiative and start creating those machine learning stuff
tutor,SPR-P01,institutional AI infrastructure and governance,policy_guidance_training,"Institutional Policy, Guidance, and Training","from governance perspective is how are we treating that from compliance and regulations, from academic perspective, and also from a student perspective"
tutor,SPR-P01,student over-reliance and reduced effort,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",I think the students are just getting a bit lazy sometimes.
tutor,SPR-P01,student over-reliance and reduced effort,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they believe that if they use GenAI, quickly they can get any tax or any assessment done"
tutor,SPR-P01,student over-reliance and reduced effort,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they can think, hey, GenAI can solve everything."
tutor,SPR-P01,plagiarism and lack of acknowledgment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"they used the AI tool, they didn't acknowledge the use of AI tool"
tutor,SPR-P01,plagiarism and lack of acknowledgment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"once I just run the plagiarism section, I can find out that"
tutor,SPR-P01,plagiarism and lack of acknowledgment,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"they are still using that, and they are not acknowledged the use of Gen AI"
tutor,SPR-P01,need for practical ethical guidance and workshops,policy_guidance_training,"Institutional Policy, Guidance, and Training","we can provide, like, as I just mentioned, like, a workshop with the students, just to provide real test case scenarios"
tutor,SPR-P01,limitations and inaccuracy of AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","usually they are inaccurate, so I have to go and revisit"
tutor,SPR-P01,limitations and inaccuracy of AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","the information that I got was inaccurate, so I have it to go through and read"
tutor,SPR-P01,limitations and inaccuracy of AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",they will find out the same. So what I did is just test it by myself
tutor,SPR-P01,tutor reluctance to use AI for feedback,staff_experience_professional_use,Staff Experience and Professional Use of AI,"To be honest, I didn't… I didn't use any GenAI to provide feedback."
tutor,SPR-P01,tutor reluctance to use AI for feedback,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I think that's better, instead of using Gen AI tool to provide feedback"
tutor,SPR-P01,tutor reluctance to use AI for feedback,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I didn't use that one, to be honest. I don't like to do it."
tutor,SPR-P01,student engagement and boredom with current ethics activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","sometimes the students find the activities a bit boring, to be honest"
tutor,SPR-P01,student engagement and boredom with current ethics activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","they sometimes find out that a bit boring, because they don't like to do that one"
tutor,SPR-P01,student engagement and boredom with current ethics activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","some of them, they like to participate, but most of them, they don't like to participate"
tutor,SPR-P02,need for clearer purpose of AI integration,policy_guidance_training,"Institutional Policy, Guidance, and Training",they need to understand the purpose of using GenAI or integrating GenAI with their content
tutor,SPR-P02,need for clearer purpose of AI integration,policy_guidance_training,"Institutional Policy, Guidance, and Training","I didn't even know that was the purpose of gen… using Gen AI, or what's the purpose of, like, integrating Gen AI with this course"
tutor,SPR-P02,need for clearer purpose of AI integration,policy_guidance_training,"Institutional Policy, Guidance, and Training","if they can see the bigger picture of it, that could be one strategy"
tutor,SPR-P02,student over-reliance and non-acknowledgement,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"they were hiding like, they… they don't want to show me, like, they have in using Gen AI"
tutor,SPR-P02,student over-reliance and non-acknowledgement,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"sometimes they use it superficially, they don't acknowledge that they have used it"
tutor,SPR-P02,student over-reliance and non-acknowledgement,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"one group of students who use it overly, like, they just rely on GenAI"
tutor,SPR-P02,marking incentives for critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,we need to assign some marks for the critical evaluation. Specifically
tutor,SPR-P02,marking incentives for critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"when they will see that, okay, this part is really important, and it has marks"
tutor,SPR-P02,marking incentives for critical evaluation,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"students always motivated by getting marks, so if they see that it involves some marks, then they will be very… they will take it seriously"
tutor,SPR-P02,increased engagement through AI activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","it was quite engaging, and yeah."
tutor,SPR-P02,increased engagement through AI activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Students were engaged, and they were, like…they were, very interested to generate the diagrams."
tutor,SPR-P02,increased engagement through AI activities,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Because of the tool, yes, it, it, I think, yeah, yes, they have engaged"
tutor,SPR-P02,performance gains for motivated students,assessment_design_innovation,Assessment Design and Innovation,"students who do well, like, who prepared well, who attend, lectures and tutorials, and also they… sometimes they take help from the GenAI, they have done excellent"
tutor,SPR-P02,performance gains for motivated students,assessment_design_innovation,Assessment Design and Innovation,"it is helpful for those students who are, like, prepared or who give effort"
tutor,SPR-P02,performance gains for motivated students,assessment_design_innovation,Assessment Design and Innovation,"for those students who are eager, actually, who are… who are willing to learn. Yeah."
tutor,SPR-P02,tutor use of AI for feedback and preparation,staff_experience_professional_use,Staff Experience and Professional Use of AI,"this time I have used a lot, especially to write constructive feedback"
tutor,SPR-P02,tutor use of AI for feedback and preparation,staff_experience_professional_use,Staff Experience and Professional Use of AI,it was helpful to write the constructive feedbacks through Gen AI
tutor,SPR-P02,desire for more training and lecture-level emphasis,policy_guidance_training,"Institutional Policy, Guidance, and Training","it would be better to, like, to have more content or more focus on… within the content of the lecture"
tutor,SPR-P02,desire for more training and lecture-level emphasis,policy_guidance_training,"Institutional Policy, Guidance, and Training","I think we could have, content within the lecture…maybe that could be helpful for them"
tutor,SPR-P03,high tutor AI literacy and daily professional use,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Actually, I use generative AI every day, I think."
tutor,SPR-P03,high tutor AI literacy and daily professional use,staff_experience_professional_use,Staff Experience and Professional Use of AI,I use GenAI for both teaching and assessment feedback.
tutor,SPR-P03,high tutor AI literacy and daily professional use,staff_experience_professional_use,Staff Experience and Professional Use of AI,I use GenAI before each of my tutorial sessions and each of the teaching sessions.
tutor,SPR-P03,AI-supported teaching preparation and feedback,ai_as_learning_tool,AI as a Learning and Comparative Tool,I'm going to their desk and talk with them regarding the AI generated and just give them the feedback
tutor,SPR-P03,AI-supported teaching preparation and feedback,ai_as_learning_tool,AI as a Learning and Comparative Tool,"Yes, of course, I'm… It might… it's helpful to give students the feedback regarding their assignments. Yeah, I use GenAI for both teaching and assessment feedback."
tutor,SPR-P03,AI-supported teaching preparation and feedback,ai_as_learning_tool,AI as a Learning and Comparative Tool,"I use GenAI before each of my tutorial sessions and each of the teaching sessions. And, I think it's really helpful for me."
tutor,SPR-P03,prompt quality and sensitivity as a core challenge,assessment_design_innovation,Assessment Design and Innovation,they see the sensitivity of their prompts and a sentence that they give to Gen AI
tutor,SPR-P03,prompt quality and sensitivity as a core challenge,assessment_design_innovation,Assessment Design and Innovation,the main challenge is how to ask Gen AI your problem because it's very sensitive to your prompts
tutor,SPR-P03,student engagement and motivation only moderate,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","Yes, I think it… It's kind of engaging, but not too much, not very much."
tutor,SPR-P03,student engagement and motivation only moderate,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","I think it needs more improvement in terms of if we want students, to engage."
tutor,SPR-P03,student engagement and motivation only moderate,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","maybe 50% or half of the students are engaged, yeah, engaged and interested, and some of them are not."
tutor,SPR-P03,mixed levels of student critical evaluation,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","I think it's good to say 50-50. Yeah, half of the students try to critically evaluate, and half of them not."
tutor,SPR-P03,mixed levels of student critical evaluation,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","in some cases, I… sawthat they try to evaluate their AI-generated content, but in some cases, no, I didn't."
tutor,SPR-P03,fairness concerns about AI users gaining higher marks,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,if some students use the GenAI to generate the answer this student might get higher marks rather than the students that don't use the GenAI
tutor,SPR-P03,fairness concerns about AI users gaining higher marks,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,the groups that use Gen AI to generate the answers might get higher marks rather than other groups that takes more effort
tutor,SPR-P03,no clear improvement in assessment performance,assessment_design_innovation,Assessment Design and Innovation,I didn't see any changes between the last semester and this semester in this part.
tutor,SPR-P03,no clear improvement in assessment performance,assessment_design_innovation,Assessment Design and Innovation,"regarding the assessment performance, I didn't observe any improvement of assessment performance."
tutor,SPR-P03,value of structured AI-comparison tasks for learning,ai_as_learning_tool,AI as a Learning and Comparative Tool,Some students try to critically evaluate the AI generated and… try to compare then their answers with the Gen AI
tutor,SPR-P03,value of structured AI-comparison tasks for learning,ai_as_learning_tool,AI as a Learning and Comparative Tool,"I think this course, these parts of the course that ask them to generate one answer with the AI is really good"
tutor,SPR-P04,high tutor AI literacy,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I'm working with, several LLMs. I'm using, RAG technology. RAG means Retrieval Augmented, Generation"
tutor,SPR-P04,high tutor AI literacy,staff_experience_professional_use,Staff Experience and Professional Use of AI,"I have installed several Docker components for LLMs, and also, we are using several platforms to run the LLMs and connect the RAG technology into LLM"
tutor,SPR-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,please do not provide the answer of GenAI as yours
tutor,SPR-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,I'm not sure how we can make sure that a student understands the course
tutor,SPR-P04,assessment integrity,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,there is no mechanism to control their behaviour. It is just morally
tutor,SPR-P04,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","most of the time, students use Gen AI without any thinking"
tutor,SPR-P04,student over-reliance,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they are not able to understand the output, and they are not able to interpret the response of the Gen AI"
tutor,SPR-P04,limited ethical guideline effectiveness,policy_guidance_training,"Institutional Policy, Guidance, and Training",I'm not pretty sure that it is effective for their students.
tutor,SPR-P04,limited ethical guideline effectiveness,policy_guidance_training,"Institutional Policy, Guidance, and Training",We try to control this behaviour by reducing or increasing the marks and it's not really working that well.
tutor,SPR-P04,limited ethical guideline effectiveness,policy_guidance_training,"Institutional Policy, Guidance, and Training",there is no mechanism to control their behaviour. It is just morally.
tutor,SPR-P04,"need for controlled, course-specific AI tools",policy_guidance_training,"Institutional Policy, Guidance, and Training",if you have a kind of software to provide Gen AI for each course in a more specialized way
tutor,SPR-P04,"need for controlled, course-specific AI tools",policy_guidance_training,"Institutional Policy, Guidance, and Training","There is a possibility of providing, a specialized, Gen AI tools for each course"
tutor,SPR-P04,"need for controlled, course-specific AI tools",policy_guidance_training,"Institutional Policy, Guidance, and Training","providing some specialized Gen AI tools for each course. And the puts… The assessments, the assignments, everything inside this software"
tutor,SPR-P04,challenges verifying genuine understanding,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"I'm not sure how we can make sure that a student understands the course, and they understand the content"
tutor,SPR-P04,challenges verifying genuine understanding,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,there is no way to control this behavior
tutor,SPR-P04,prompt manipulation to game comparisons,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,they try to change the prompt to get weak answer from Gen AI to show that their output is better than the GenAI
tutor,SPR-P04,prompt manipulation to game comparisons,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,students ask the Gen AI to provide very simple answer to the question
tutor,SPR-P04,prompt manipulation to game comparisons,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,a student do this manipulation on the prompts to show that they are… the student answer has been better than the GenAI
tutor,SPR-P04,importance of oral questioning to detect misuse,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"My strategy is… Asking, the concepts… of the course"
tutor,SPR-P04,importance of oral questioning to detect misuse,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"when the students feel that you will ask about the concepts, so, they try to understand the genuine output"
tutor,SPR-P04,importance of oral questioning to detect misuse,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"I ask some question about the concept of the course…for example, when I see this response, it's very, it is very professional"
tutor,SPR-P05,student over-reliance on AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they use that AI tool to generate the answer first, and then they use that one to produce their one"
tutor,SPR-P05,student over-reliance on AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","they are using the same scenario, then I… I understood that, like, they got this scenario from using the AI tool"
tutor,SPR-P05,student over-reliance on AI outputs,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",they just provide it as their own task
tutor,SPR-P05,weak critical evaluation and reflection,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"not everyone, are smart enough to reflect those properly, or maybe they don't bother"
tutor,SPR-P05,weak critical evaluation and reflection,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"they really can't reflect all the time, like, whether it is good or bad"
tutor,SPR-P05,weak critical evaluation and reflection,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"Very basic, very basic, in my… in one word, I can say that. They just provide very basic, like, you know, reflection"
tutor,SPR-P05,assessment integrity and academic honesty,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"we just can't give them zero, or just can't put them for like, you know, for academic integrity or something"
tutor,SPR-P05,assessment integrity and academic honesty,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"if you really don't follow these, you'll be really penalized, or, like, you know, you'll be, like, you need to face this academic integrity"
tutor,SPR-P05,assessment integrity and academic honesty,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"if you don't follow this guideline, it will be… it will be taken as an academic integrity, and you need to face the consequence for that"
tutor,SPR-P05,tutor workload and time constraints,staff_experience_professional_use,Staff Experience and Professional Use of AI,I have to mark a lot of assignments
tutor,SPR-P05,tutor workload and time constraints,staff_experience_professional_use,Staff Experience and Professional Use of AI,"you get very, like, short time to mark the submission"
tutor,SPR-P05,insufficient staff training on ethical AI use,policy_guidance_training,"Institutional Policy, Guidance, and Training","I don't remember that I have used… I have, like, I have gone through with any specific training for tutors, like, to use it."
tutor,SPR-P05,call for mandatory student ethics training,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"I think, like, students, if they also have some kind of training about that, that'd be great."
tutor,SPR-P05,call for mandatory student ethics training,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"Like, a mandatory general session for… every student."
tutor,SPR-P05,call for mandatory student ethics training,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"I think for students also, it would be great if we can provide a mandatory session for every student for the first year"
tutor,SPR-P05,uncertainty about actual learning gains,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I'm not sure how good or bad their, like, you know, what is their learning, ultimate learning outcome"
tutor,SPR-P05,uncertainty about actual learning gains,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","I believe that there is no way I can really understand that they are, like, you know, they are learning really"
tutor,SPR-P06,structured reflection and evaluative judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"there is a proper tabular approach that we are following, through which we are guiding them for evaluative judgment"
tutor,SPR-P06,structured reflection and evaluative judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"with and without generative AI, every assessment and weekly task had a reflection part"
tutor,SPR-P06,structured reflection and evaluative judgment,critical_evaluation_reflection,Critical Evaluation and Reflective Practice,"then they can generate the same thing using, GenAI tools and then reflect, and then compare"
tutor,SPR-P06,student over-reliance on GenAI,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",they actually try to over-rely on these tools
tutor,SPR-P06,student over-reliance on GenAI,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability",over-reliance is one thing
tutor,SPR-P06,student over-reliance on GenAI,accuracy_limitations_reliability,"AI Accuracy, Limitations, and Reliability","instead of using it as a tutor, sometimes they over-rely on that"
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we have a proper Gen AI declaration section in our assessments
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"we are trying to make them aware of the ethical guidelines, that how to declare it"
tutor,SPR-P06,ethical declaration and AI plagiarism awareness,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"what is, AI plagiarism and plagiarism, what is the effective use of Gen AI, and how to declare it and ethically consider it"
tutor,SPR-P06,agentic and semi-restricted use of GenAI,staff_experience_professional_use,Staff Experience and Professional Use of AI,"instead of allowing them full use of generative AI, we can use agentic approach"
tutor,SPR-P06,agentic and semi-restricted use of GenAI,staff_experience_professional_use,Staff Experience and Professional Use of AI,"Agentic approaches, like agentic use of GenAI, where it will ask, prompt by prompt"
tutor,SPR-P06,agentic and semi-restricted use of GenAI,staff_experience_professional_use,Staff Experience and Professional Use of AI,we can also allow them to use generative AI in a semi-restricted more just as a peer or tutor
tutor,SPR-P06,assessment integrity and detection of undeclared use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,we have a proper Gen AI declaration section in our assessments
tutor,SPR-P06,assessment integrity and detection of undeclared use,assessment_integrity_ethics,Assessment Integrity and Academic Ethics,"sometimes they use it, but they don't declare it"
tutor,SPR-P06,variation in student engagement and attitudes,student_engagement_motivation,"Student Engagement, Motivation, and Attitudes","I would say that both groups, both kinds of groups exist."
tutor,SPR-P06,need for formal tutor training and institutional guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","these things can be formalized in terms of training sessions, you can say, or talks"
tutor,SPR-P06,need for formal tutor training and institutional guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training","I'm looking for more formalized, approaches towards tutor training"
tutor,SPR-P06,need for formal tutor training and institutional guidelines,policy_guidance_training,"Institutional Policy, Guidance, and Training",I can't witness something very formalized in terms of dedicated training in Gen AI for casual academics
tutor,SPR-P06,refinement of GenAI declaration templates and prompts,policy_guidance_training,"Institutional Policy, Guidance, and Training","we have a proper Gen AI declaration section in our assessments, and we have provided 2 or 3 samples"
tutor,SPR-P06,refinement of GenAI declaration templates and prompts,policy_guidance_training,"Institutional Policy, Guidance, and Training","the way we have provided samples in your templates and assessment, tasks…these are the ways in which you have to use and come up with the reflection part"
tutor,SPR-P06,refinement of GenAI declaration templates and prompts,policy_guidance_training,"Institutional Policy, Guidance, and Training","right now, the samples are restricted, it's binary, either used or not used"
